test,predict
4.449555556,3.8369153
4.023333333,3.5645552
3.948444444,3.2217705
3.3478888890000005,3.3114905
3.348,3.4186711
3.424,3.429629
3.420888889,3.161244
3.226666667,3.0601182
3.051333333,3.4132888
3.029444444,3.2403398
3.196555556,3.1380255
3.096888889,2.9457436
3.162777778,2.874643
3.1025555559999995,3.1210134
3.053555556,3.0065196
3.005888889,2.8742235
3.043444444,2.8946726
3.149888889,2.9144812
3.121888889,2.987523
3.016777778,3.0538414
3.085555556,3.2942264
3.0960000000000005,2.9634354
2.971333333,2.9725296
